key	value
1759	U17202
1760	U17203
1761	U17400
1762	U17404
1763	U17405
1764	U17406
1765	U17407
1766	U17408
1767	U17409
1768	U17410
1769	U17411
1770	U17412
1771	U17413
1772	U17415
1773	U17416
1774	U17417
1775	U17418
1776	U17419
1777	U17420
1778	U17421
1779	U17422
1780	U17423
1781	U17424
1782	U17425
1783	U17426
1784	U17427
1785	U17428
1786	U17429
1787	U17430
1788	U17431
1789	U17432
1790	U17433
1791	U17434
1792	U17435
1793	U17436
1794	U17437
1795	U17438
1796	U17439
1797	U17440
1798	U17441
1799	U17442
1800	U17443
1801	U17444
1802	U17800
1803	U17801
1804	U17802
1805	U17803
1806	U17804
1807	U17805
1808	U17806
1809	U17807
1810	U17808
1811	U20002
1812	U20003
1813	U20004
1814	U20005
1815	U20006
1816	U20007
1817	U20009
1818	U20010
1819	U20011
1820	U20012
1821	U20013
1822	U20014
1823	U20400
1824	U20402
1825	U20411
1826	U20412
1827	U20413
1828	U20414
1829	U20416
1830	U20417
1831	U20418
1832	U20419
1833	U20420
1834	U20421
1835	U20422
1836	U20423
1837	U20424
1838	U20425
1839	U20426
1840	U20427
1841	U20428
1842	U20429
1843	U20430
1844	U20432
1845	U20433
1846	U20434
1847	U20435
1848	U20436
1849	U20437
1850	U20438
1851	U20439
1852	U20440
1853	U20441
1854	U20442
1855	U21001
1856	U21002
1857	U21003
1858	U21004
1859	U21005
1860	U21006
1861	U21007
1862	U21008
1863	U21009
1864	U21010
1865	U21011
1866	U21012
1867	U21200
1868	U21201
1869	U21202
1870	U21203
1871	U21400
1872	U21401
1873	U21402
1874	U21403
1875	U21404
1876	U21405
1877	U21406
1878	U21407
1879	U21408
1880	U21409
1881	U21410
1882	U21411
1883	U21412
1884	U21413
1885	U21414
1886	U21415
1887	U21416
1888	U21417
1889	U21418
1890	U21419
1891	U21420
1892	U21421
1893	U21422
1894	U21423
1895	U21424
1896	U21425
1897	U21426
1898	U21427
1899	U21428
1900	U21429
1901	U21430
1902	U21431
1903	U21432
1904	U21433
1905	U21434
1906	U21435
1907	U21436
1908	U21437
1909	U21438
1910	U21439
1911	U21440
1912	U21447
1913	U21448
1914	U21449
1915	U21450
1916	U23001
1917	U23003
1918	U23004
1919	U23200
1920	U23201
1921	U23202
1922	U23203
1923	U23401
1924	U23402
1925	U23403
1926	U23404
1927	U23405
1928	U23406
1929	U23407
1930	U23408
1931	U23409
1932	U23410
1933	U23411
1934	U23412
1935	U23413
1936	U23414
1937	U23415
1938	U23416
1939	U23417
1940	U23418
1941	U23419
1942	U23420
1943	U23421
1944	U23422
1945	U23423
1946	U23424
1947	U23425
1948	U23426
1949	U23427
1950	U23428
1951	U23429
1952	U23430
1953	U23431
1954	U23432
1955	U23433
1956	U23434
1957	U23435
1958	U23436
1959	U23437
1960	U23438
1961	U23439
1962	U23440
1963	U23441
1964	U23442
1965	U23443
1966	U23444
1967	U23445
1968	U23446
1969	U23447
1970	U23448
1971	U23449
1972	U23450
1973	U23451
1974	U23452
1975	U25001
1976	U25002
1977	U25003
1978	U25004
1979	U25005
1980	U25006
1981	U25007
1982	U25008
1983	U25200
1984	U25201
1985	U25202
1986	U25203
1987	U25400
1988	U25413
1989	U25414
1990	U25415
1991	U25416
1992	U25417
1993	U25418
1994	U25420
1995	U25421
1996	U25422
1997	U25423
1998	U25424
1999	U25425
2000	U25426
2001	U25427
2002	U25428
2003	U25429
2004	U25430
2005	U25431
2006	U25432
2007	U25433
2008	U25434
2009	U26001
2010	U26002
2011	U26003
2012	U26004
2013	U26005
2014	U26006
2015	U26007
2016	U26008
2017	U26009
2018	U26010
2019	U26011
2020	U26012
2021	U26013
2022	U26800
2023	U26801
2024	U28001
2025	U28002
2026	U28003
2027	U28004
2028	U28005
2029	U28006
2030	U28007
2031	U28008
2032	U28009
2033	U28010
2034	U28011
2035	U28012
2036	U28013
2037	U28014
2038	U28015
2039	U28016
2040	U28017
